person_id,name,popularity,Recognizability,best_known_for_acting
2,Mark Hamill,2.0847,8,True
3,Harrison Ford,3.2373,10,True
4,Carrie Fisher,1.138,9,True
5,Peter Cushing,0.9095,7,True
12248,Alec Guinness,0.5721,9,True
6,Anthony Daniels,0.4214,6,True
130,Kenny Baker,0.3543,5,True
24343,Peter Mayhew,0.3098,6,True
24342,David Prowse,0.257,5,True
33032,Phil Brown,0.1588,2,True
131625,Shelagh Fraser,0.171,1,True
132538,Jack Purvis,0.8363,1,True
216087,Alex McCrindle,0.136,1,True
69249,Eddie Byrne,0.1439,2,True
47401,Drewe Henley,0.1845,2,True
13,Albert Brooks,1.3666,7,True
14,Ellen DeGeneres,0.496,10,True
12,Alexander Gould,0.5255,5,True
5293,Willem Dafoe,2.8957,9,True
118,Geoffrey Rush,2.0128,8,True
18,Brad Garrett,1.3193,7,True
19,Allison Janney,2.1454,8,True
6168,Austin Pendleton,0.645,4,True
17401,Stephen Root,1.5672,6,True
14723,Vicki Lewis,0.4184,4,True
20,Elizabeth Perkins,1.2052,7,True
981048,Nicholas Bird,0.3163,2,True
10,Bob Peterson,0.6996,5,True
22,Barry Humphries,0.4996,6,True
8783,Eric Bana,3.5409,8,True
7907,John Ratzenberger,1.1566,6,True
57675,Daryl Sabara,1.2038,6,True
120617,Vanessa Marano,1.2877,6,True
31,Tom Hanks,12.4673,10,True
32,Robin Wright,2.9694,8,True
33,Gary Sinise,1.0311,7,True
35,Sally Field,1.2191,8,True
34,Mykelti Williamson,1.2305,6,True
37821,Michael Conner Humphreys,0.9438,4,True
204997,Hanna Hall,0.7509,4,True
9640,Haley Joel Osment,2.2576,8,True
6751,Siobhan Fallon Hogan,0.5013,5,True
3817610,Rebecca Williams,0.0838,1,True
196855,Bob Penny,0.1908,1,True
3052237,Harold G. Herthum,0.6611,3,True
951881,George Kelly,0.1813,2,True
3817629,John Randall,0.0707,1,True
36221,Sam Anderson,0.726,4,True
1215432,Margo Moorer,0.2312,2,True
37827,John William Galt,2.0658,3,True
1979,Kevin Spacey,1.3107,9,True
516,Annette Bening,1.3572,8,True
2155,Thora Birch,0.9415,7,True
8210,Wes Bentley,1.6121,7,True
8211,Mena Suvari,1.3577,7,True
8212,Peter Gallagher,1.2648,7,True
2955,Chris Cooper,1.3746,7,True
2154,Scott Bakula,1.2665,7,True
8213,Sam Robards,0.3378,4,True
8214,Barry Del Sherman,0.1683,2,True
64189,Ara Celi,0.4198,3,True
68842,John Cho,1.1048,7,True
45399,Hal Fort Atkinson,0.0491,1,True
166961,Sue Casey,0.1325,1,True
9634,Kent Faulcon,0.1899,2,True
85,Johnny Depp,4.0845,10,True
114,Orlando Bloom,1.6009,9,True
116,Keira Knightley,2.9632,9,True
1709,Jack Davenport,1.1322,6,True
378,Jonathan Pryce,4.7145,8,True
1710,Lee Arenberg,0.4248,4,True
1711,Mackenzie Crook,1.0185,6,True
1712,Damian O'Hare,0.3187,4,True
1713,Giles New,0.1773,3,True
1714,Angus Barnett,0.2245,4,True
1715,David Bailie,1.1173,4,True
1716,Michael Berry Jr.,1.2903,4,True
1717,"Isaac C. Singleton, Jr.",0.2199,3,True
2449,Kevin McNally,1.0353,6,True
12802,Treva Etienne,0.2178,3,True
8691,Zoe Saldaña,3.2987,9,True
139,Uma Thurman,4.1464,9,True
140,Lucy Liu,2.9765,9,True
2535,Vivica A. Fox,1.0715,7,True
589,Daryl Hannah,1.9812,8,True
141,David Carradine,1.606,8,True
147,Michael Madsen,1.8075,8,True
2539,Julie Dreyfus,0.8166,5,True
2538,Chiaki Kuriyama,1.275,6,True
2537,Sonny Chiba,0.6184,6,True
240171,Gordon Liu Chia-Hui,1.2069,5,True
2536,Michael Parks,0.7087,5,True
2234,Michael Bowen,0.872,5,True
2541,Jun Kunimura,0.6104,5,True
138435,Kenji Ohba,0.5896,4,True
545394,Yuki Kazamatsuri,1.7961,4,True
87312,James Parks,0.2994,3,True
131,Jake Gyllenhaal,3.1871,9,True
134,Jamie Foxx,1.9746,9,True
133,Peter Sarsgaard,1.3856,7,True
2050,Noah Huntley,0.3512,4,True
68307,Luke Mably,0.3816,4,True
2258,Stuart McQuarrie,0.206,1,True
63003,Ricci Harnett,0.4356,4,True
29237,Leo Bill,0.5356,4,True
195446,Junior Laniyan,0.0861,1,True
82107,Ray Panthaki,0.535,4,True
2067293,Sanjay Rambaruth,0.0975,1,True
2052,Christopher Dunne,0.4558,1,True
2054,Emma Hitching,0.1849,1,True
2077,Laurence Luckinbill,0.4672,4,True
2078,Charles Cooper,0.3008,4,True
2079,Cynthia Gouw,0.0214,1,True
2080,Todd Bryant,0.3304,1,True
77740,Spice Williams-Crosby,0.2183,1,True
16066,Rex Holman,0.3067,1,True
2081,George Murdock,0.4871,4,True
1444735,Jonathan Simpson,0.0071,1,True
2109,Kim Cattrall,1.1984,9,True
2111,Rosanna DeSoto,0.7564,4,True
2115,Kurtwood Smith,1.0274,5,True
160414,Paul Rossilli,0.0745,1,True
2224,Christian Slater,1.9766,9,True
2130,Cary Elwes,1.1209,8,True
2140,Monica Potter,1.1424,5,True
2131,Ken Leung,0.931,5,True
2139,Makenzie Vega,1.4849,4,True
2136,Michael Emerson,0.8834,5,True
2133,Dina Meyer,2.5878,5,True
2144,Tobin Bell,1.2058,5,True
2142,Alexandra Bokyun Chun,0.313,1,True
2134,Mike Butters,0.2668,1,True
2135,Paul Gutrecht,0.1026,1,True
2141,Ned Bellamy,0.3885,4,True
2143,Avner Garbi,0.1379,1,True
2157,Robin Williams,2.4574,10,True
99,Amanda Plummer,1.1728,5,True
2167,Mercedes Ruehl,0.62,5,True
2169,Michael Jeter,1.0901,4,True
2719690,William Jay Marshall,0.0752,1,True
981542,Adam Bryant,0.1189,1,True
11075,Paul Lombardi,0.0214,1,True
11076,David Hyde Pierce,0.5833,7,True
57357,Ted Ross,0.5408,1,True
11073,Lara Harris,0.2996,1,True
1075039,Warren Olney,0.0143,1,True
170237,Frazer Smith,0.0897,1,True
11074,Kathy Najimy,1.0582,5,True
157549,Diane Robin,1.1282,1,True
2227,Nicole Kidman,4.6389,10,True
2228,Sean Penn,1.4444,10,True
2229,Catherine Keener,1.5117,8,True
2244,Jesper Christensen,0.4691,4,True
2245,Yvan Attal,0.4553,4,True
2246,Earl Cameron,0.2488,4,True
2248,Michael Wright,0.5322,4,True
2249,Clyde Kusatsu,0.3296,4,True
2250,Eric Keenleyside,0.3896,4,True
2251,Hugo Speer,0.461,1,True
2252,Maz Jobrani,0.302,4,True
2253,Yusuf Gatewood,0.3475,1,True
2254,Curtiss Cook,0.2612,1,True
2255,Byron Utley,0.0777,1,True
2256,Robert Clohessy,0.6363,4,True
22821,David Zayas,2.1007,5,True
2206,Samantha Morton,1.6335,8,True
2201,Max von Sydow,1.0871,9,True
2208,Kathryn Morris,1.2931,5,True
2202,Steve Harris,0.6382,4,True
2203,Neal McDonough,2.656,5,True
32286,Patrick Kilpatrick,0.4706,4,True
2205,Jessica Capshaw,1.0052,5,True
95604,Daniel London,0.3346,4,True
2207,Lois Smith,0.9466,4,True
1213094,Caroline Lagerfelt,0.5009,1,True
130749,Jason Antoon,0.3059,1,True
24173,Mike Binder,0.3213,4,True
81685,Frank Grillo,2.4707,5,True
62567,Karina Logue,1.109,1,True
76000,Kathi Copeland,1.3694,1,True
2230,Pam Grier,0.986,8,True
2231,Samuel L. Jackson,16.6414,10,True
2233,Bridget Fonda,1.5652,8,True
2232,Michael Keaton,2.426,10,True
5694,Robert Forster,1.4255,5,True
66,Chris Tucker,0.9053,9,True
8396,Tommy Lister Jr.,0.62,4,True
1212688,Hattie Winston,0.2916,4,True
5695,Sid Haig,0.7036,4,True
35545,Aimee Graham,0.5977,1,True
1219510,Ellis Williams,0.1112,1,True
97260,Tangie Ambrose,0.212,1,True
534301,T'Keyah Crystal Keymáh,0.1658,4,True
56890,Malcolm McDowell,1.9752,8,True
2264,Patrick Magee,0.6855,4,True
2272,Carl Duering,0.1694,1,True
2267,Michael Bates,0.4224,4,True
2268,Warren Clarke,0.5901,4,True
2270,James Marcus,0.2425,1,True
2271,Michael Tarn,0.1469,1,True
1450799,Brandon Brendel,0.0362,1,True
160474,Marc Alaimo,0.4153,5,True
6451,Michael J. Pollard,0.4221,6,True
80579,Robert Z'Dar,0.8166,4,True
1377933,Leslie Morris,0.136,1,True
156617,Susan Krebs,0.1513,1,True
9294,David Byrd,0.1527,1,True
103601,Tamara Landry,1.8065,1,True
58727,Jamie Renée Smith,0.2843,1,True
108939,Jeremy Foley,0.3518,1,True
1219410,Elizabeth Hoffman,0.1697,1,True
1219650,Kirk Trutner,0.283,1,True
105649,Bill Bolender,0.3276,1,True
183404,Carole Androsky,0.464,1,True
