movie_id,title,original_title,original_language,release_date,runtime,vote_count,vote_average,revenue,budget,adult,genres,production_countries
11,Star Wars,Star Wars,en,1977-05-25,121,21443,8.2,775398007,11000000,False,Adventure; Action; Science Fiction,US
12,Finding Nemo,Finding Nemo,en,2003-05-30,100,19883,7.8,940335536,94000000,False,Animation; Family,US
13,Forrest Gump,Forrest Gump,en,1994-06-23,142,28583,8.465,677387716,55000000,False,Comedy; Drama; Romance,US
14,American Beauty,American Beauty,en,1999-09-15,122,12531,8.005,356296601,15000000,False,Drama,US
22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,en,2003-07-09,143,21397,7.813,655011224,140000000,False,Adventure; Fantasy; Action,US
24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,en,2003-10-10,111,18104,7.971,180906076,30000000,False,Action; Crime,US
25,Jarhead,Jarhead,en,2005-11-04,123,3007,6.673,97076152,72000000,False,Drama; War,GB; US
28,Apocalypse Now,Apocalypse Now,en,1979-05-19,147,8621,8.271,150000000,31500000,False,Drama; War,US
33,Unforgiven,Unforgiven,en,1992-08-07,130,4667,7.915,159157447,14400000,False,Western,US
35,The Simpsons Movie,The Simpsons Movie,en,2007-07-25,87,8256,7.014,527068851,75000000,False,Animation; Comedy; Family,US
38,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,en,2004-03-19,108,15652,8.092,72258126,20000000,False,Science Fiction; Drama; Romance,US
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,en,2006-07-06,151,16553,7.4,1066179747,200000000,False,Adventure; Fantasy; Action,US
59,A History of Violence,A History of Violence,en,2005-09-23,96,3471,7.2,61477797,32000000,False,Drama; Thriller; Crime,CA; DE; GB; US
63,Twelve Monkeys,Twelve Monkeys,en,1995-12-29,129,8680,7.6,168841459,29000000,False,Science Fiction; Thriller; Mystery,US
65,8 Mile,8 Mile,en,2002-11-08,111,7524,7.144,242875078,41000000,False,Drama; Music,DE; US
66,Absolute Power,Absolute Power,en,1997-02-14,121,1149,6.7,50100000,50000000,False,Crime; Drama; Action,US
69,Walk the Line,Walk the Line,en,2005-09-13,136,2987,7.497,186800000,28000000,False,Drama; Music; Romance,DE; US
70,Million Dollar Baby,Million Dollar Baby,en,2004-12-05,132,9948,7.955,216763646,30000000,False,Drama,CH; US
71,Billy Elliot,Billy Elliot,en,2000-09-28,110,3947,7.596,109280263,5000000,False,Drama; Comedy; Music,FR; GB; US
73,American History X,American History X,en,1998-07-01,119,12012,8.334,23900000,20000000,False,Drama,US
74,War of the Worlds,War of the Worlds,en,2005-06-28,117,8726,6.521,603873119,132000000,False,Adventure; Thriller; Science Fiction,US
75,Mars Attacks!,Mars Attacks!,en,1996-12-13,106,5636,6.415,101371017,70000000,False,Comedy; Fantasy; Science Fiction,US
77,Memento,Memento,en,2000-10-11,113,15503,8.178,40047236,9000000,False,Mystery; Thriller,US
78,Blade Runner,Blade Runner,en,1982-06-25,118,14335,7.942,41722424,28000000,False,Science Fiction; Drama; Thriller,US; HK; GB
80,Before Sunset,Before Sunset,en,2004-06-16,80,3558,7.808,15992615,2700000,False,Drama; Romance,US
82,Miami Vice,Miami Vice,en,2006-07-27,132,1856,6.017,163800000,135000000,False,Action; Crime; Thriller,DE; US
85,Raiders of the Lost Ark,Raiders of the Lost Ark,en,1981-06-12,115,13046,7.925,389925971,18000000,False,Adventure; Action,US
87,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,en,1984-05-23,118,9686,7.302,333000000,28000000,False,Adventure; Action,US
88,Dirty Dancing,Dirty Dancing,en,1987-08-21,100,6318,7.3,214577242,6000000,False,Drama; Music; Romance,US
89,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,en,1989-05-24,127,10592,7.846,474171806,48000000,False,Adventure; Action,US
90,Beverly Hills Cop,Beverly Hills Cop,en,1984-12-05,105,4364,7.203,316360478,14000000,False,Comedy; Crime; Action,US
95,Armageddon,Armageddon,en,1998-07-01,151,8234,6.836,553799566,140000000,False,Action; Thriller; Science Fiction; Adventure,US
96,Beverly Hills Cop II,Beverly Hills Cop II,en,1987-05-18,103,2667,6.521,299965036,28000000,False,Action; Comedy; Crime,US
97,Tron,Tron,en,1982-07-09,95,2438,6.6,33000000,17000000,False,Science Fiction; Action; Adventure,US
98,Gladiator,Gladiator,en,2000-05-04,155,20016,8.221,465516248,103000000,False,Action; Drama; Adventure,GB; US
100,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",en,1998-08-28,105,6855,8.109,28356188,1350000,False,Comedy; Crime,GB; US
103,Taxi Driver,Taxi Driver,en,1976-02-09,114,12839,8.135,28579636,1900000,False,Crime; Drama,US
105,Back to the Future,Back to the Future,en,1985-07-03,116,20824,8.322,381109762,19000000,False,Adventure; Comedy; Science Fiction,US
106,Predator,Predator,en,1987-06-12,107,8519,7.539,98267558,15000000,False,Science Fiction; Action; Adventure; Thriller,US
107,Snatch,Snatch,en,2000-09-01,103,9454,7.8,83557872,10000000,False,Crime; Comedy,GB; US
