id,name,type,popularity,department
P-2,Mark Hamill,Actor,2.0847,Acting
P-3,Harrison Ford,Actor,3.2373,Acting
P-4,Carrie Fisher,Actor,1.138,Acting
P-5,Peter Cushing,Actor,0.9095,Acting
P-12248,Alec Guinness,Actor,0.5721,Acting
P-6,Anthony Daniels,Actor,0.4214,Acting
P-130,Kenny Baker,Actor,0.3543,Acting
P-24343,Peter Mayhew,Actor,0.3098,Acting
P-24342,David Prowse,Actor,0.257,Acting
P-33032,Phil Brown,Actor,0.1588,Acting
P-131625,Shelagh Fraser,Actor,0.171,Acting
P-132538,Jack Purvis,Actor,0.8363,Acting
P-216087,Alex McCrindle,Actor,0.136,Acting
P-69249,Eddie Byrne,Actor,0.1439,Acting
P-47401,Drewe Henley,Actor,0.1845,Acting
P-13,Albert Brooks,Actor,1.3666,Acting
P-14,Ellen DeGeneres,Actor,0.496,Acting
P-12,Alexander Gould,Actor,0.5255,Acting
P-5293,Willem Dafoe,Actor,2.8957,Acting
P-118,Geoffrey Rush,Actor,2.0128,Acting
P-18,Brad Garrett,Actor,1.3193,Acting
P-19,Allison Janney,Actor,2.1454,Acting
P-6168,Austin Pendleton,Actor,0.645,Acting
P-17401,Stephen Root,Actor,1.5672,Acting
P-14723,Vicki Lewis,Actor,0.4184,Acting
P-20,Elizabeth Perkins,Actor,1.2052,Acting
P-981048,Nicholas Bird,Actor,0.3163,Acting
P-10,Bob Peterson,Actor,0.6996,Acting
P-22,Barry Humphries,Actor,0.4996,Acting
P-8783,Eric Bana,Actor,3.5409,Acting
P-7907,John Ratzenberger,Actor,1.1566,Acting
P-57675,Daryl Sabara,Actor,1.2038,Acting
P-120617,Vanessa Marano,Actor,1.2877,Acting
P-31,Tom Hanks,Actor,12.4673,Acting
P-32,Robin Wright,Actor,2.9694,Acting
P-33,Gary Sinise,Actor,1.0311,Acting
P-35,Sally Field,Actor,1.2191,Acting
P-34,Mykelti Williamson,Actor,1.2305,Acting
P-37821,Michael Conner Humphreys,Actor,0.9438,Acting
P-204997,Hanna Hall,Actor,0.7509,Acting
P-9640,Haley Joel Osment,Actor,2.2576,Acting
P-6751,Siobhan Fallon Hogan,Actor,0.5013,Acting
P-3817610,Rebecca Williams,Actor,0.0838,Acting
P-196855,Bob Penny,Actor,0.1908,Acting
P-3052237,Harold G. Herthum,Actor,0.6611,Acting
P-951881,George Kelly,Actor,0.1813,Acting
P-3817629,John Randall,Actor,0.0707,Acting
P-36221,Sam Anderson,Actor,0.726,Acting
P-1215432,Margo Moorer,Actor,0.2312,Acting
P-37827,John William Galt,Actor,2.0658,Acting
P-1979,Kevin Spacey,Actor,1.3107,Acting
P-516,Annette Bening,Actor,1.3572,Acting
P-2155,Thora Birch,Actor,0.9415,Acting
P-8210,Wes Bentley,Actor,1.6121,Acting
P-8211,Mena Suvari,Actor,1.3577,Acting
