Source,Target,Type,Weight,movie_id,movie_title,release_date
P-3084,P-3,Undirected,1,28,Apocalypse Now,1979-05-19
P-190,P-193,Undirected,1,33,Unforgiven,1992-08-07
P-190,P-192,Undirected,1,33,Unforgiven,1992-08-07
P-193,P-192,Undirected,1,33,Unforgiven,1992-08-07
P-206,P-204,Undirected,1,38,Eternal Sunshine of the Spotless Mind,2004-03-19
P-62,P-287,Undirected,1,63,Twelve Monkeys,1995-12-29
P-190,P-193,Undirected,1,66,Absolute Power,1997-02-14
P-190,P-192,Undirected,1,70,Million Dollar Baby,2004-12-05
P-500,P-192,Undirected,1,74,War of the Worlds,2005-06-28
P-514,P-524,Undirected,1,75,Mars Attacks!,1996-12-13
P-3,P-738,Undirected,1,89,Indiana Jones and the Last Crusade,1989-05-24
P-62,P-880,Undirected,1,95,Armageddon,1998-07-01
P-776,P-2632,Undirected,1,96,Beverly Hills Cop II,1987-05-18
P-380,P-1038,Undirected,1,103,Taxi Driver,1976-02-09
P-976,P-287,Undirected,1,107,Snatch,2000-09-01
P-1158,P-1160,Undirected,1,111,Scarface,1983-12-09
P-1205,P-1204,Undirected,1,114,Pretty Woman,1990-03-23
P-1230,P-1231,Undirected,1,115,The Big Lebowski,1998-03-06
P-1269,P-738,Undirected,1,117,The Untouchables,1987-06-03
P-1269,P-380,Undirected,1,117,The Untouchables,1987-06-03
P-738,P-380,Undirected,1,117,The Untouchables,1987-06-03
P-85,P-1283,Undirected,1,118,Charlie and the Chocolate Factory,2005-07-13
P-1327,P-112,Undirected,1,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
P-1327,P-112,Undirected,1,121,The Lord of the Rings: The Two Towers,2002-12-18
P-1461,P-1230,Undirected,1,134,"O Brother, Where Art Thou?",2000-08-30
P-1748,P-1749,Undirected,1,152,Star Trek: The Motion Picture,1979-12-07
P-1532,P-1245,Undirected,1,153,Lost in Translation,2003-09-18
P-1748,P-1749,Undirected,1,154,Star Trek II: The Wrath of Khan,1982-06-04
P-3894,P-3895,Undirected,1,155,The Dark Knight,2008-07-16
P-3894,P-64,Undirected,1,155,The Dark Knight,2008-07-16
P-3894,P-192,Undirected,1,155,The Dark Knight,2008-07-16
P-3895,P-64,Undirected,1,155,The Dark Knight,2008-07-16
P-3895,P-192,Undirected,1,155,The Dark Knight,2008-07-16
P-64,P-192,Undirected,1,155,The Dark Knight,2008-07-16
P-1748,P-1749,Undirected,1,157,Star Trek III: The Search for Spock,1984-06-01
P-1461,P-287,Undirected,1,161,Ocean's Eleven,2001-12-07
P-1461,P-1892,Undirected,1,161,Ocean's Eleven,2001-12-07
P-1461,P-1204,Undirected,1,161,Ocean's Eleven,2001-12-07
P-287,P-1892,Undirected,1,161,Ocean's Eleven,2001-12-07
P-287,P-1204,Undirected,1,161,Ocean's Eleven,2001-12-07
P-1892,P-1204,Undirected,1,161,Ocean's Eleven,2001-12-07
P-85,P-1920,Undirected,1,162,Edward Scissorhands,1990-12-07
P-1461,P-1204,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1461,P-287,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1461,P-1892,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1461,P-1922,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1461,P-62,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1204,P-287,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1204,P-1892,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1204,P-1922,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1204,P-62,Undirected,1,163,Ocean's Twelve,2004-12-09
P-287,P-1892,Undirected,1,163,Ocean's Twelve,2004-12-09
P-287,P-1922,Undirected,1,163,Ocean's Twelve,2004-12-09
P-287,P-62,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1892,P-1922,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1892,P-62,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1922,P-62,Undirected,1,163,Ocean's Twelve,2004-12-09
P-1748,P-1749,Undirected,1,168,Star Trek IV: The Voyage Home,1986-11-26
P-1748,P-1749,Undirected,1,172,Star Trek V: The Final Frontier,1989-06-09
P-1748,P-1749,Undirected,1,174,Star Trek VI: The Undiscovered Country,1991-12-06
P-2227,P-2228,Undirected,1,179,The Interpreter,2005-04-08
P-2231,P-380,Undirected,1,184,Jackie Brown,1997-12-25
P-2231,P-2232,Undirected,1,184,Jackie Brown,1997-12-25
P-380,P-2232,Undirected,1,184,Jackie Brown,1997-12-25
P-192,P-2282,Undirected,1,186,Lucky Number Slevin,2006-02-24
P-192,P-62,Undirected,1,186,Lucky Number Slevin,2006-02-24
P-2282,P-62,Undirected,1,186,Lucky Number Slevin,2006-02-24
P-62,P-56731,Undirected,1,187,Sin City,2005-04-01
P-56731,P-62,Undirected,1,189,Sin City: A Dame to Kill For,2014-08-20
P-56731,P-237405,Undirected,1,189,Sin City: A Dame to Kill For,2014-08-20
P-62,P-237405,Undirected,1,189,Sin City: A Dame to Kill For,2014-08-20
P-2387,P-1748,Undirected,1,193,Star Trek: Generations,1994-11-18
P-2387,P-2524,Undirected,1,201,Star Trek: Nemesis,2002-12-13
P-3,P-112,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-3,P-10959,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-3,P-5049,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-112,P-10959,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-112,P-5049,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-10959,P-5049,Undirected,1,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
P-1100,P-2713,Undirected,1,218,The Terminator,1984-10-26
P-1461,P-1892,Undirected,1,231,Syriana,2005-11-23
P-1461,P-19492,Undirected,1,231,Syriana,2005-11-23
P-1892,P-19492,Undirected,1,231,Syriana,2005-11-23
P-2628,P-3037,Undirected,1,235,Stand by Me,1986-08-08
P-2628,P-3036,Undirected,1,235,Stand by Me,1986-08-08
P-3037,P-3036,Undirected,1,235,Stand by Me,1986-08-08
P-3084,P-1158,Undirected,1,238,The Godfather,1972-03-14
P-3084,P-3092,Undirected,1,238,The Godfather,1972-03-14
P-1158,P-3092,Undirected,1,238,The Godfather,1972-03-14
P-57755,P-3223,Undirected,1,241,Natural Born Killers,1994-08-26
P-57755,P-2176,Undirected,1,241,Natural Born Killers,1994-08-26
P-3223,P-2176,Undirected,1,241,Natural Born Killers,1994-08-26
P-1158,P-3092,Undirected,1,242,The Godfather Part III,1990-12-25
P-3036,P-1922,Undirected,1,243,High Fidelity,2000-03-17
P-3291,P-3293,Undirected,1,245,About a Boy,2002-04-26
P-3416,P-2395,Undirected,1,251,Ghost,1990-07-13
P-3489,P-3490,Undirected,1,254,King Kong,2005-12-12
P-2232,P-514,Undirected,1,268,Batman,1989-06-21
P-3894,P-3895,Undirected,1,272,Batman Begins,2005-06-10
P-3894,P-3896,Undirected,1,272,Batman Begins,2005-06-10
P-3894,P-3897,Undirected,1,272,Batman Begins,2005-06-10
P-3894,P-64,Undirected,1,272,Batman Begins,2005-06-10
P-3894,P-192,Undirected,1,272,Batman Begins,2005-06-10
P-3895,P-3896,Undirected,1,272,Batman Begins,2005-06-10
P-3895,P-3897,Undirected,1,272,Batman Begins,2005-06-10
P-3895,P-64,Undirected,1,272,Batman Begins,2005-06-10
P-3895,P-192,Undirected,1,272,Batman Begins,2005-06-10
P-3896,P-3897,Undirected,1,272,Batman Begins,2005-06-10
P-3896,P-64,Undirected,1,272,Batman Begins,2005-06-10
P-3896,P-192,Undirected,1,272,Batman Begins,2005-06-10
P-3897,P-64,Undirected,1,272,Batman Begins,2005-06-10
P-3897,P-192,Undirected,1,272,Batman Begins,2005-06-10
P-64,P-192,Undirected,1,272,Batman Begins,2005-06-10
P-1038,P-4173,Undirected,1,274,The Silence of the Lambs,1991-02-14
P-1100,P-2713,Undirected,1,280,Terminator 2: Judgment Day,1991-07-03
P-85,P-1619,Undirected,1,285,Pirates of the Caribbean: At World's End,2007-05-19
P-1100,P-6194,Undirected,1,296,Terminator 3: Rise of the Machines,2003-07-02
P-287,P-4173,Undirected,1,297,Meet Joe Black,1998-11-12
P-1461,P-287,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-1461,P-1158,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-1461,P-1892,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-287,P-1158,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-287,P-1892,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-1158,P-1892,Undirected,1,298,Ocean's Thirteen,2007-06-05
P-1532,P-4430,Undirected,1,308,Broken Flowers,2005-07-31
P-1532,P-4431,Undirected,1,308,Broken Flowers,2005-07-31
P-1532,P-3063,Undirected,1,308,Broken Flowers,2005-07-31
P-4430,P-4431,Undirected,1,308,Broken Flowers,2005-07-31
P-4430,P-3063,Undirected,1,308,Broken Flowers,2005-07-31
P-4431,P-3063,Undirected,1,308,Broken Flowers,2005-07-31
P-206,P-192,Undirected,1,310,Bruce Almighty,2003-05-23
P-206,P-4491,Undirected,1,310,Bruce Almighty,2003-05-23
P-206,P-4495,Undirected,1,310,Bruce Almighty,2003-05-23
P-192,P-4491,Undirected,1,310,Bruce Almighty,2003-05-23
P-192,P-4495,Undirected,1,310,Bruce Almighty,2003-05-23
P-4491,P-4495,Undirected,1,310,Bruce Almighty,2003-05-23
P-4587,P-4430,Undirected,1,314,Catwoman,2004-07-22
P-64,P-287,Undirected,1,319,True Romance,1993-09-09
P-64,P-4690,Undirected,1,319,True Romance,1993-09-09
P-64,P-2231,Undirected,1,319,True Romance,1993-09-09
P-287,P-4690,Undirected,1,319,True Romance,1993-09-09
P-287,P-2231,Undirected,1,319,True Romance,1993-09-09
P-4690,P-2231,Undirected,1,319,True Romance,1993-09-09
P-1158,P-2157,Undirected,1,320,Insomnia,2002-05-24
P-2228,P-4724,Undirected,1,322,Mystic River,2003-10-08
P-4784,P-4785,Undirected,1,329,Jurassic Park,1993-06-11
P-4784,P-2231,Undirected,1,329,Jurassic Park,1993-06-11
P-4785,P-2231,Undirected,1,329,Jurassic Park,1993-06-11
P-4785,P-1231,Undirected,1,330,The Lost World: Jurassic Park,1997-05-23
P-4785,P-4937,Undirected,1,330,The Lost World: Jurassic Park,1997-05-23
P-1231,P-4937,Undirected,1,330,The Lost World: Jurassic Park,1997-05-23
P-500,P-1231,Undirected,1,334,Magnolia,1999-12-17
P-500,P-2227,Undirected,1,345,Eyes Wide Shut,1999-07-16
P-10205,P-5049,Undirected,1,348,Alien,1979-05-25
P-5064,P-1813,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-5064,P-5081,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-5064,P-10583,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-1813,P-5081,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-1813,P-10583,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-5081,P-10583,Undirected,1,350,The Devil Wears Prada,2006-06-29
P-2232,P-1160,Undirected,1,364,Batman Returns,1992-06-19
P-2232,P-4690,Undirected,1,364,Batman Returns,1992-06-19
P-1160,P-4690,Undirected,1,364,Batman Returns,1992-06-19
P-2963,P-1230,Undirected,1,378,Raising Arizona,1987-03-13
P-2963,P-3910,Undirected,1,378,Raising Arizona,1987-03-13
P-1230,P-3910,Undirected,1,378,Raising Arizona,1987-03-13
P-4483,P-500,Undirected,1,380,Rain Man,1988-12-12
P-5292,P-1038,Undirected,1,388,Inside Man,2006-03-17
P-1137,P-85,Undirected,1,392,Chocolat,2000-12-22
P-1137,P-5309,Undirected,1,392,Chocolat,2000-12-22
P-85,P-5309,Undirected,1,392,Chocolat,2000-12-22
P-524,P-5374,Undirected,1,401,Garden State,2004-07-28
P-3392,P-4430,Undirected,1,402,Basic Instinct,1992-03-20
P-5469,P-1137,Undirected,1,409,The English Patient,1996-11-14
P-5469,P-5472,Undirected,1,409,The English Patient,1996-11-14
P-1137,P-5472,Undirected,1,409,The English Patient,1996-11-14
P-3896,P-3063,Undirected,1,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
P-3896,P-5530,Undirected,1,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
P-3063,P-5530,Undirected,1,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
P-2176,P-206,Undirected,1,414,Batman Forever,1995-06-16
P-2176,P-2227,Undirected,1,414,Batman Forever,1995-06-16
P-2176,P-69597,Undirected,1,414,Batman Forever,1995-06-16
P-206,P-2227,Undirected,1,414,Batman Forever,1995-06-16
P-206,P-69597,Undirected,1,414,Batman Forever,1995-06-16
P-2227,P-69597,Undirected,1,414,Batman Forever,1995-06-16
P-1461,P-1100,Undirected,1,415,Batman & Robin,1997-06-20
P-1532,P-112,Undirected,1,421,The Life Aquatic with Steve Zissou,2004-12-10
P-1532,P-4785,Undirected,1,421,The Life Aquatic with Steve Zissou,2004-12-10
P-112,P-4785,Undirected,1,421,The Life Aquatic with Steve Zissou,2004-12-10
P-3896,P-2282,Undirected,1,424,Schindler's List,1993-12-15
P-3896,P-5469,Undirected,1,424,Schindler's List,1993-12-15
