id,name,type,Recognizability,movie_count
P-2,Mark Hamill,Actor,8,1
P-72466,Colin Farrell,Actor,9,1
P-569,Ethan Hawke,Actor,9,1
P-587,Edward James Olmos,Actor,8,1
P-586,Sean Young,Actor,8,1
P-585,Rutger Hauer,Actor,8,1
P-532,Joe Pantoliano,Actor,8,1
P-530,Carrie-Anne Moss,Actor,8,1
P-529,Guy Pearce,Actor,8,1
P-18979,Christina Applegate,Actor,8,1
P-70851,Jack Black,Actor,9,1
P-4774,Jim Brown,Actor,8,1
P-524,Natalie Portman,Actor,10,1
P-523,Tom Jones,Actor,8,1
P-522,Rod Steiger,Actor,8,1
P-521,Michael J. Fox,Actor,9,1
P-520,Sarah Jessica Parker,Actor,9,1
P-519,Martin Short,Actor,9,1
P-518,Danny DeVito,Actor,9,1
P-517,Pierce Brosnan,Actor,9,1
P-515,Glenn Close,Actor,9,1
P-514,Jack Nicholson,Actor,10,1
P-35029,David Harbour,Actor,8,1
P-504,Tim Robbins,Actor,9,1
P-501,Dakota Fanning,Actor,9,1
P-1146,Julie Delpy,Actor,8,1
P-643,Gong Li,Actor,8,1
P-15903,George Carlin,Actor,9,1
P-8785,Ciarán Hinds,Actor,8,1
P-16483,Sylvester Stallone,Actor,10,1
P-17286,Lena Headey,Actor,8,1
P-20006,Christopher Reeve,Actor,9,1
P-15735,Helen Mirren,Actor,9,1
P-18050,Elle Fanning,Actor,8,1
P-258,Gael García Bernal,Actor,8,1
P-15565,Jennifer Hudson,Actor,8,1
P-7487,David Bowie,Actor,10,1
P-15310,Anthony Kiedis,Actor,8,1
P-14670,Joan Rivers,Actor,8,1
P-14639,Mel Brooks,Actor,9,1
P-41292,Keri Russell,Actor,8,1
P-13333,Vanessa Redgrave,Actor,8,1
P-14409,David Schwimmer,Actor,9,1
P-21200,Will Arnett,Actor,8,1
P-14991,Jay Leno,Actor,9,1
P-15758,Queen Latifah,Actor,9,1
P-15852,Ashley Judd,Actor,8,1
P-1336,Jet Li,Actor,9,1
P-78029,Martin Lawrence,Actor,8,1
P-655,John Rhys-Davies,Actor,8,1
P-650,Karen Allen,Actor,8,1
P-15009,Justin Theroux,Actor,8,1
P-500,Tom Cruise,Actor,10,1
P-3636,Paul Newman,Actor,9,1
P-10400,Barbra Streisand,Actor,10,1
P-5823,Julie Andrews,Actor,10,1
P-12073,Mike Myers,Actor,9,1
P-12052,Gwyneth Paltrow,Actor,9,1
P-12021,Mia Farrow,Actor,8,1
P-12041,Julia Stiles,Actor,8,1
P-11863,Sarah Michelle Gellar,Actor,9,1
P-8487,Gregory Peck,Actor,8,1
P-2178,Forest Whitaker,Actor,8,1
P-11701,Angelina Jolie,Actor,10,1
P-11669,Jimmy Fallon,Actor,9,1
P-11664,Zooey Deschanel,Actor,8,1
P-11661,Kate Hudson,Actor,8,1
P-11856,Daniel Day-Lewis,Actor,9,1
P-52792,Maya Rudolph,Actor,8,1
P-17419,Bryan Cranston,Actor,9,1
P-13472,Tim Curry,Actor,8,1
P-11510,Macaulay Culkin,Actor,9,1
P-3136,Salma Hayek Pinault,Actor,9,1
P-11108,Simon Pegg,Actor,8,1
P-17276,Gerard Butler,Actor,9,1
P-10742,Teri Hatcher,Actor,8,1
P-1620,Michelle Yeoh,Actor,9,1
P-10669,Timothy Dalton,Actor,8,1
P-10661,Grace Jones,Actor,8,1
P-12074,John Lithgow,Actor,8,1
P-12111,Justin Timberlake,Actor,9,1
P-3635,Elizabeth Taylor,Actor,10,1
