id,name,type,Recognizability,movie_count,best_known_for_acting
P-3,Harrison Ford,Actor,10,1,True
P-87485,Neil Armstrong,Actor,10,1,False
P-82702,Michael Jackson,Actor,10,1,False
P-2888,Will Smith,Actor,10,1,True
P-8293,Marion Cotillard,Actor,10,1,True
P-3061,Ewan McGregor,Actor,10,1,True
P-7904,Billy Crystal,Actor,10,1,True
P-8170,Eva Mendes,Actor,10,1,True
P-8167,Paul Walker,Actor,10,1,True
P-8930,John Cleese,Actor,10,1,True
P-18269,Brendan Fraser,Actor,10,1,True
P-14,Ellen DeGeneres,Actor,10,1,True
P-41686,Neil Patrick Harris,Actor,10,1,True
P-6384,Keanu Reeves,Actor,10,1,True
P-17051,James Franco,Actor,10,1,True
P-2219,Tobey Maguire,Actor,10,1,True
P-7499,Jared Leto,Actor,10,1,True
P-4135,Robert Redford,Actor,10,1,True
P-7399,Ben Stiller,Actor,10,1,True
P-65731,Sam Worthington,Actor,10,1,True
P-8784,Daniel Craig,Actor,10,1,True
P-8851,Whitney Houston,Actor,10,1,False
P-8891,John Travolta,Actor,10,1,True
P-10980,Daniel Radcliffe,Actor,10,1,True
P-16828,Chris Evans,Actor,10,1,True
P-16483,Sylvester Stallone,Actor,10,1,True
P-7487,David Bowie,Actor,10,1,False
P-524,Natalie Portman,Actor,10,1,True
P-514,Jack Nicholson,Actor,10,1,True
P-500,Tom Cruise,Actor,10,1,True
P-3635,Elizabeth Taylor,Actor,10,1,True
P-13309,Oprah Winfrey,Actor,10,1,False
P-111946,Britney Spears,Actor,10,1,False
P-14386,Beyoncé,Actor,10,1,False
P-5823,Julie Andrews,Actor,10,1,True
P-11701,Angelina Jolie,Actor,10,1,True
P-10400,Barbra Streisand,Actor,10,1,True
P-325,Eminem,Actor,10,1,True
P-287,Brad Pitt,Actor,10,1,True
P-62,Bruce Willis,Actor,10,1,True
P-10990,Emma Watson,Actor,10,1,True
P-2282154,Jimmy Donaldson,Actor,10,1,False
P-1700631,Liza Koshy,Actor,10,1,False
P-7175,Aretha Franklin,Actor,10,1,False
P-115440,Sydney Sweeney,Actor,10,1,True
P-155488,Kelly Clarkson,Actor,10,1,False
P-22226,Paul Rudd,Actor,10,1,True
P-6193,Leonardo DiCaprio,Actor,10,1,True
P-6162,Paul Bettany,Actor,10,1,True
P-6161,Jennifer Connelly,Actor,10,1,True
P-6240,Mariska Hargitay,Actor,10,1,True
P-6065,Dennis Quaid,Actor,10,1,True
P-204,Kate Winslet,Actor,10,1,True
P-206,Jim Carrey,Actor,10,1,True
P-192,Morgan Freeman,Actor,10,1,True
P-193,Gene Hackman,Actor,10,1,True
P-190,Clint Eastwood,Actor,10,1,True
P-3084,Marlon Brando,Actor,10,1,True
P-1238247,Chrissy Teigen,Actor,10,1,False
P-85757,Joe Jonas,Actor,10,1,False
P-1562344,Cardi B,Actor,10,1,False
P-165899,Simon Cowell,Actor,10,1,False
P-56367,Naomi Campbell,Actor,10,1,False
P-1549008,The Weeknd,Actor,10,1,False
P-7174,Ray Charles,Actor,10,1,False
P-9281,Elizabeth Banks,Actor,10,1,True
P-7172,James Brown,Actor,10,1,False
P-4517,Joe Pesci,Actor,10,1,True
P-6968,Hugh Jackman,Actor,10,1,True
P-10730,Rowan Atkinson,Actor,10,1,True
P-7060,Martin Freeman,Actor,10,1,True
P-108558,Shania Twain,Actor,10,1,False
P-7056,Emma Thompson,Actor,10,1,True
P-4566,Alan Rickman,Actor,10,1,True
P-6886,Christina Ricci,Actor,10,1,True
P-6885,Charlize Theron,Actor,10,1,True
P-20497,Fergie,Actor,10,1,False
P-6856,Kurt Russell,Actor,10,1,True
P-6736,Pamela Anderson,Actor,10,1,True
P-6730,Sacha Baron Cohen,Actor,10,1,True
P-6952,Charlie Sheen,Actor,10,1,True
P-6949,John Malkovich,Actor,10,1,True
P-6941,Cameron Diaz,Actor,10,1,True
P-16866,Jennifer Lopez,Actor,10,1,True
P-18277,Sandra Bullock,Actor,10,1,True
P-17605,Idris Elba,Actor,10,1,True
P-1461,George Clooney,Actor,10,1,True
P-51962,Bill Cosby,Actor,10,1,True
P-51329,Bradley Cooper,Actor,10,1,True
